collection,rule,stock_enabled,selection,family,reason,planned_behavior,existing_composite,validation_status,condition
falco_rules.yaml,Directory traversal monitored file read,True,selected,File access,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Open a fixture through a path containing at least two parent-directory traversals; control parent-process context.,,New target; not execution-validated,"(open_read or open_file_failed) and (etc_dir or user_ssh_directory or fd.name startswith /root/.ssh or fd.name contains ""id_rsa"") and directory_traversal and not proc.pname in (shell_binaries)"
falco_rules.yaml,Read sensitive file trusted after startup,True,excluded,,Requires a specific trusted server identity and startup-age context; outside the native test-program population.,,,Not selected,"open_read and sensitive_files and server_procs and not proc_is_new and proc.name!=""sshd"" and not user_known_read_sensitive_files_activities"
falco_rules.yaml,Read sensitive file untrusted,True,selected,File access,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Read a designated sensitive-path fixture from the native test program.,read_sensitive_file,Existing implementation and historical pilot claim; exact-rule qualification pending,"open_read and sensitive_files and proc_name_exists and not proc.name in (user_mgmt_binaries, userexec_binaries, package_mgmt_binaries, cron_binaries, read_sensitive_file_binaries, shell_binaries, hids_binaries, vpn_binaries, mail_config_binaries, nomachine_binaries, sshkit_script_binaries, in.proftpd, mandb, salt-call, salt-minion, postgres_mgmt_binaries, google_oslogin_ ) and not cmp_cp_by_passwd and not ansible_running_python and not run_by_qualys and not run_by_chef and not run_by_google_accounts_daemon and not user_read_sensitive_file_conditions and not mandb_postinst and not perl_running_plesk and not perl_running_updmap and not veritas_driver_script and not perl_running_centrifydc and not runuser_reading_pam and not linux_bench_reading_etc_shadow and not user_known_read_sensitive_files_activities and not user_read_sensitive_file_containers and not systemd_sensitive_file_readers"
falco_rules.yaml,Run shell untrusted,True,excluded,,Requires designated protected parent-application identities; would test application-specific process naming/context.,,,Not selected,"spawned_process and shell_procs and proc.pname exists and protected_shell_spawner and not proc.pname in (shell_binaries, gitlab_binaries, cron_binaries, user_known_shell_spawn_binaries, needrestart_binaries, mesos_shell_binaries, erl_child_setup, exechealthz, PM2, PassengerWatchd, c_rehash, svlogd, logrotate, hhvm, serf, lb-controller, nvidia-installe, runsv, statsite, erlexec, calico-node, ""puma reactor"") and not proc.cmdline in (known_shell_spawn_cmdlines) and not proc.aname in (unicorn_launche) and not consul_running_net_scripts and not consul_running_alert_checks and not nginx_starting_nginx and not nginx_running_aws_s3_cp and not run_by_package_mgmt_binaries and not serf_script and not check_process_status and not run_by_foreman and not python_mesos_marathon_scripting and not splunk_running_forwarder and not postgres_running_wal_e and not postgres_running_cnpg and not redis_running_prepost_scripts and not rabbitmq_running_scripts and not rabbitmqctl_running_scripts and not run_by_appdynamics and not user_shell_container_exclusions"
falco_rules.yaml,System user interactive,True,excluded,,Requires system-account interactive-login context; outside the noninteractive native-program tests.,,,Not selected,spawned_process and system_users and interactive and not user_known_system_user_login
falco_rules.yaml,Terminal shell in container,True,excluded,,Primarily exercises interactive terminal/container-entrypoint configuration.,,,Not selected,spawned_process and container and shell_procs and proc.tty != 0 and container_entrypoint and not user_expected_terminal_shell_in_container_conditions
falco_rules.yaml,Contact K8S API Server From Container,True,excluded,,Requires Kubernetes API infrastructure and associated discovery/context absent from this lab.,,,Not selected,evt.type=connect and (fd.typechar=4 or fd.typechar=6) and container and k8s_api_server and not k8s_containers and not user_known_contact_k8s_api_server_activities
falco_rules.yaml,Netcat Remote Code Execution in Container,True,excluded,,Matches named nc/ncat commands and arguments; replacing them with native implementations does not preserve the predicate.,,,Not selected,"spawned_process and container and ((proc.name = ""nc"" and (proc.cmdline contains "" -e"" or proc.cmdline contains "" -c"")) or (proc.name = ""ncat"" and (proc.args contains ""--sh-exec"" or proc.args contains ""--exec"" or proc.args contains ""-e "" or proc.args contains ""-c "" or proc.args contains ""--lua-exec"")) )"
falco_rules.yaml,Search Private Keys or Passwords,True,excluded,,"Matches grep/find command identities and arguments, rather than native search implementations.",,,Not selected,"spawned_process and ((grep_commands and private_key_or_password) or (proc.name = ""find"" and (proc.args contains ""id_rsa"" or proc.args contains ""id_dsa"" or proc.args contains ""id_ed25519"" or proc.args contains ""id_ecdsa"" ) ))"
falco_rules.yaml,Clear Log Activities,True,selected,File modification,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Truncate a designated test log under /var/log.,clear_log,Existing implementation and historical pilot claim; exact-rule qualification pending,"open_write and access_log_files and evt.arg.flags contains ""O_TRUNC"" and not containerd_activities and not trusted_logging_images and not allowed_clear_log_files"
falco_rules.yaml,Remove Bulk Data from Disk,True,excluded,,Matches named disk-clearing utilities and arguments; excludes utility-signature tests.,,,Not selected,spawned_process and clear_data_procs and not user_known_remove_data_activities
